Addr: 3.235.155.167, Port: 60000
b'{"is_cold": false, "events": -1, "idx": "11983"}'
b'{"is_cold": false, "events": -1, "idx": "11984"}'
b'{"is_cold": false, "events": -1, "idx": "11985"}'
b'{"is_cold": false, "events": 3, "idx": "11986"}'
b'{"is_cold": false, "events": -1, "idx": "11987"}'
b'{"is_cold": false, "events": -1, "idx": "11988"}'
b'{"is_cold": false, "events": 3, "idx": "11989"}'
b'{"is_cold": false, "events": -1, "idx": "11990"}'
b'{"is_cold": false, "events": -1, "idx": "11991"}'
b'{"is_cold": false, "events": 3, "idx": "11992"}'
b'{"is_cold": false, "events": -1, "idx": "11993"}'
